feature,count,mean,std,min,1%,5%,50%,95%,99%,max
gap_composite,259906.0,0.010075962472933103,0.6945155858574025,-14.302507717515214,-1.7851532861591621,-0.8399558338571417,-0.04526668236616324,1.0,2.124506340068329,21.822476034704138
complexity_score,265822.0,0.40537230250141565,0.08998258589212894,0.11787274348890885,0.11787274348890885,0.2752548114306147,0.39674441260204274,0.546449502532594,0.6292257631679393,0.8284529589906852
gap_x_complexity,259906.0,0.006843054474834092,0.2897866243078463,-6.569320855644574,-0.7408749518170743,-0.3392257890662414,-0.017096000812577634,0.41674058142413145,0.8898684282472432,10.301322443303242
ret_fwd_1m,237119.0,0.004032170340630655,0.19952981426566288,-0.946143,-0.44105716,-0.2398757,0.000631,0.23284399999999977,0.568436,16.25053
ret_5d,239789.0,-0.001711820144772595,0.11602760282909422,-0.9516051531994385,-0.2970396056415206,-0.1505909296744333,-0.0010767212125902814,0.13860626968473788,0.31606695998414014,11.403367478935033
ret_20d,238868.0,0.0027265691095229166,0.19831157262609314,-0.9676766280660527,-0.48125738984323035,-0.2614401631726878,0.00026940201934499974,0.25242460433999425,0.571066000157756,11.015515216370313
ret_60d,233115.0,0.02737605211379999,0.3647291065587952,-0.9996172370180852,-0.6396821899679841,-0.39576453646274357,0.009615611000010515,0.45075904305672787,1.1198916080922563,26.79873375825951
