date,gross_ret,net_ret,turnover
2018-01-31,0.09620601666666667,0.09420601666666667,2.0
2018-02-28,0.08559530104469529,0.08159530104469528,4.0
2018-03-31,0.14381139701154683,0.13981139701154682,4.0
2018-04-30,0.25486396281682877,0.25086396281682877,4.0
2018-05-31,0.18416123490921366,0.18016123490921365,3.9999999999999996
2018-06-30,0.06725245036630037,0.06325245036630037,4.0
2018-07-31,0.09659999605263159,0.09259999605263158,4.0
2018-08-31,0.15403933523590208,0.15003933523590207,3.9999999999999996
2018-09-30,0.13077599328703704,0.12677599328703704,4.0
2018-10-31,0.1376305488095238,0.1336305488095238,4.0
2018-11-30,0.1550034083404534,0.1510034083404534,3.9999999999999996
2018-12-31,0.23960248925925925,0.23560248925925925,4.0
2019-01-31,0.08219929166666667,0.07819929166666667,4.0
2019-02-28,0.06094544825490179,0.05694544825490179,4.0
2019-03-31,0.17422152511581007,0.17022152511581007,4.0
2019-04-30,0.16931149977513227,0.16531149977513226,4.0
2019-05-31,0.25692751650174117,0.25292751650174117,4.0
2019-06-30,0.17229485152625154,0.16829485152625154,3.9999999999999996
2019-07-31,0.08038355326086957,0.07638355326086957,4.0
2019-08-31,0.1921607812831877,0.1881607812831877,4.0
2019-09-30,0.31317373937074827,0.30917373937074827,4.0
2019-10-31,0.1078768880952381,0.1038768880952381,4.0
2019-11-30,0.19175095657772012,0.18775095657772012,4.0
2019-12-31,0.15973612968750003,0.15573612968750003,4.0
2020-01-31,-0.0837590119047619,-0.0877590119047619,4.0
2020-02-29,-0.025808955978140338,-0.029808955978140338,4.0
2020-03-31,-0.014539047070692045,-0.018539047070692045,4.0
2020-04-30,-0.026406469924812027,-0.030406469924812028,4.0
2020-05-31,0.060774498788375736,0.05677449878837573,4.0
2020-06-30,-0.004441164682539675,-0.008441164682539675,4.0
2020-07-31,0.016002858333333335,0.012002858333333335,4.0
2020-08-31,0.017650281917084454,0.013650281917084454,4.0
2020-09-30,-0.1227573541666667,-0.1267573541666667,4.0
2020-10-31,-0.05515004408541196,-0.059150044085411954,4.0
2020-11-30,0.03059114058944895,0.02659114058944895,4.0
2020-12-31,-0.42351224285714284,-0.42751224285714284,3.9999999999999996
2021-01-31,0.18029337499999998,0.17629337499999997,4.0
2021-02-28,-0.019559489040727854,-0.023559489040727855,3.9999999999999996
2021-03-31,0.037003141369047615,0.03300314136904762,3.9999999999999996
2021-04-30,0.02151968188405797,0.01751968188405797,4.0
2021-05-31,-0.06829367461905586,-0.07229367461905586,4.0
2021-06-30,0.013571536666666665,0.009571536666666665,4.0
2021-07-31,-0.04017472291666667,-0.04417472291666667,4.0
2021-08-31,0.021224394114650363,0.017224394114650363,4.0
2021-09-30,0.06750723422619048,0.06350723422619048,4.0
2021-10-31,0.02198416732804233,0.017984167328042328,4.0
2021-11-30,0.060422253563407004,0.05642225356340701,4.0
2021-12-31,0.04244316920970267,0.03844316920970267,4.0
2022-01-31,0.039870125,0.035870125,4.0
2022-02-28,0.05661119520087948,0.05261119520087948,4.0
2022-03-31,0.06873247938814031,0.06473247938814031,4.0
2022-04-30,-0.043119915476190485,-0.04711991547619049,4.0
2022-05-31,0.013230985784083486,0.009230985784083486,4.0
2022-06-30,0.009763712345678993,0.005763712345678994,3.9999999999999996
2022-07-31,-0.015967013227513226,-0.019967013227513226,3.999999999999999
2022-08-31,0.06502214985803895,0.06102214985803894,4.0
2022-09-30,0.06589588333333334,0.06189588333333334,3.9999999999999996
2022-10-31,-0.017551056766917292,-0.021551056766917293,4.0
2022-11-30,0.010865919170065266,0.006865919170065266,3.9999999999999996
2022-12-31,-0.08155030580357142,-0.08555030580357142,4.0
2023-01-31,0.1385145916666667,0.13451459166666668,4.0
2023-02-28,0.052908503387224456,0.04890850338722446,3.9999999999999996
2023-03-31,0.02535171453111704,0.02135171453111704,3.9999999999999996
2023-04-30,-0.06657796984126985,-0.07057796984126985,4.0
2023-05-31,0.0015575863239025364,-0.0024424136760974637,4.0
2023-06-30,0.04889351269841269,0.04489351269841269,3.9999999999999996
2023-07-31,-0.013889924561403519,-0.01788992456140352,3.9999999999999996
2023-08-31,0.02931380468665188,0.02531380468665188,3.9999999999999996
2023-09-30,0.11298468125,0.10898468124999999,4.0
2023-10-31,-0.01701113756613758,-0.02101113756613758,4.0
2023-11-30,0.031286313927470825,0.027286313927470825,4.0
2023-12-31,0.048511281666666656,0.04451128166666665,4.0
2024-01-31,0.10540803333333335,0.10140803333333334,4.0
2024-02-29,0.0008728748466566086,-0.0031271251533433915,4.0
2024-03-31,0.139783818477131,0.135783818477131,4.0
2024-04-30,0.07693990474022945,0.07293990474022945,4.0
2024-05-31,-0.01437302970423314,-0.01837302970423314,4.0
2024-06-30,0.058719610714285705,0.0547196107142857,4.0
2024-07-31,0.2562658666666667,0.25226586666666667,4.0
2024-08-31,-0.03398338731528727,-0.03798338731528727,3.9999999999999996
2024-09-30,0.011457336309523808,0.007457336309523808,4.0
2024-10-31,0.0018179249662617983,-0.002182075033738202,4.0
2024-11-30,-0.03605134805597453,-0.04005134805597453,4.0
