date,rank_ic
2009-05-31,
2009-07-31,-0.16173243613896934
2009-08-31,0.02914536954657626
2009-09-30,0.056097419025405014
2009-10-31,-0.11410772664414445
2009-11-30,0.08525504803591016
2009-12-31,0.02221138344491675
2010-01-31,-0.4670153667673998
2010-02-28,-0.06600493262436402
2010-03-31,0.24899764470061495
2010-04-30,-0.011393411967468061
2010-05-31,-0.09583516060909476
2010-06-30,-0.22341529985844155
2010-07-31,-0.0634733320161617
2010-08-31,0.038667290786623905
2010-09-30,0.08607575487324971
2010-10-31,0.09053848410844734
2010-11-30,0.019081992248878025
2010-12-31,-0.08365021022955088
2011-01-31,0.282042763762838
2011-02-28,-0.0007444019511188339
2011-03-31,-0.0178725533054494
2011-04-30,-0.08441575210439436
2011-05-31,-0.051440966540578295
2011-06-30,0.0004523495593118939
2011-07-31,-0.12805357098297462
2011-08-31,-0.08310323664722752
2011-09-30,0.024487051423679494
2011-10-31,-0.057308914954297636
2011-11-30,0.01595441234214156
2011-12-31,-0.01649643179949673
2012-01-31,0.07302144965322335
2012-02-29,-0.010884733556771154
2012-03-31,-0.0056951220338206585
2012-04-30,0.024019085256652046
2012-05-31,0.004703818013925194
2012-06-30,0.011655684266819663
2012-07-31,-0.021772551207438606
2012-08-31,0.04441291661119963
2012-09-30,-0.05376522850251494
2012-10-31,-0.033572285921401476
2012-11-30,-0.01300002216249784
2012-12-31,-0.0019721470748717608
2013-01-31,0.06756053730220928
2013-02-28,0.03639137531311382
2013-03-31,0.010359169414968634
2013-04-30,-0.036759219054863505
2013-05-31,0.01900152614462449
2013-06-30,-0.023989173594965656
2013-07-31,-0.06842645661884979
2013-08-31,-0.06414205754759641
2013-09-30,0.03762615044076855
2013-10-31,-0.007009531417241896
2013-11-30,-0.005358732611330806
2013-12-31,0.020553052938075227
2014-01-31,0.00615628487433308
2014-02-28,-0.005059257957460356
2014-03-31,-0.0029364623947870467
2014-04-30,-0.1000383809100282
2014-05-31,0.010706842729373273
2014-06-30,-0.08144106814503414
2014-07-31,0.004574041636037928
2014-08-31,0.016264560848016925
2014-09-30,-0.07725340318914349
2014-10-31,0.0024753015393924245
2014-11-30,0.016474028993669905
2014-12-31,0.03431982210811291
2015-01-31,0.08238090227635464
2015-02-28,0.04881813516711952
2015-03-31,0.015857743111688045
2015-04-30,-0.026000614104288885
2015-05-31,0.0045948064740009105
2015-06-30,-0.041792401537221885
2015-07-31,0.05680062053170712
2015-08-31,0.04819375161752367
2015-09-30,0.020329774080450187
2015-10-31,-0.06080587521406988
2015-11-30,0.020478570580997217
2015-12-31,-0.020885243025602213
2016-01-31,-0.03955664925710891
2016-02-29,0.009097373985166315
2016-03-31,0.03638493085038972
2016-04-30,0.018899619125976746
2016-05-31,-0.033534668107376424
2016-06-30,0.01805051683965225
2016-07-31,0.12294300009323726
2016-08-31,-0.04279149106490918
2016-09-30,0.018544578866830898
2016-10-31,-0.024074752813237475
2016-11-30,0.050246370060118666
2016-12-31,0.06311721777348729
2017-01-31,0.054335837526635525
2017-02-28,0.026704602619270566
2017-03-31,0.034014697561044145
2017-04-30,-0.05394418750691973
2017-05-31,0.0031835632659720065
2017-06-30,-0.043293120168987224
2017-07-31,-0.006800785272386927
2017-08-31,0.01845310636467554
2017-09-30,-0.06308788252399067
2017-10-31,-0.030207400365437332
2017-11-30,-0.028191216425542544
2017-12-31,0.06460816139066171
2018-01-31,0.1931013983394286
2018-02-28,0.012129897277435686
2018-03-31,0.03270470621890816
2018-04-30,-0.04567144078164662
2018-05-31,-0.0509263911458724
2018-06-30,0.02637344031208342
2018-07-31,-0.023422200532026316
2018-08-31,-0.0017437790953711782
2018-09-30,-0.08932214541882838
2018-10-31,-0.09156292871811479
2018-11-30,-0.014407294653489736
2018-12-31,0.01171866792995705
2019-01-31,0.07241126042617343
2019-02-28,-0.023900986933676687
2019-03-31,0.018763921549137738
2019-04-30,0.12183257597996074
2019-05-31,-0.06015212106387283
2019-06-30,0.005220070320182358
2019-07-31,-0.051988471953014016
2019-08-31,0.0020001149442660355
2019-09-30,0.021561359112509823
2019-10-31,-0.09271330886413844
2019-11-30,-0.0401666428892651
2019-12-31,0.022505630139863658
2020-01-31,0.02851074114623864
2020-02-29,0.009755346967164838
2020-03-31,0.004509813528818804
2020-04-30,0.009316940095323648
2020-05-31,0.012334717305221265
2020-06-30,-0.04575872083161707
2020-07-31,0.004944414316959848
2020-08-31,0.0017107013493117096
2020-09-30,0.0323850971379335
2020-10-31,-0.04719449639521553
2020-11-30,-0.051195873790181846
2020-12-31,0.12350615551294722
2021-01-31,0.012585058774894553
2021-02-28,0.03874927752082373
2021-03-31,-0.006571395248294187
2021-04-30,0.062397406715350455
2021-05-31,-0.015561314880315652
2021-06-30,-0.2110054150140672
2021-07-31,0.048139882023269256
2021-08-31,0.0316123984798721
2021-09-30,-0.06523309270075732
2021-10-31,-0.04777410065904927
2021-11-30,-0.0509741829675634
2021-12-31,0.152602464570721
2022-01-31,0.03935979333159936
2022-02-28,0.03186302539526311
2022-03-31,0.11655156660502392
2022-04-30,-0.0037040642865297695
2022-05-31,-0.024484365206726606
2022-06-30,-0.04303362883173158
2022-07-31,-0.03837321029286317
2022-08-31,0.004614320760147019
2022-09-30,0.0019839380690853566
2022-10-31,-0.09767655136040541
2022-11-30,0.11236802183493863
2022-12-31,-0.08616359563390123
2023-01-31,-0.23193320761354186
2023-02-28,-0.021793875127035147
2023-03-31,0.0658842405328623
2023-04-30,0.03577695039048235
2023-05-31,-0.08009495468501912
2023-06-30,0.1068176958164159
2023-07-31,0.026119105889013283
2023-08-31,-0.09265377797530452
2023-09-30,0.05501418778643191
2023-10-31,-0.06414346589046621
2023-11-30,0.02117718938373073
2023-12-31,-0.01405400472935473
2024-01-31,0.021594640510850922
2024-02-29,0.043889147402164215
2024-03-31,-0.010054127212594318
2024-04-30,-0.002416568888430421
2024-05-31,-0.08101812433061656
2024-06-30,-0.012840899418531733
2024-07-31,-0.020857165559127405
2024-08-31,-0.05416541968844996
2024-09-30,-0.010730676726668387
2024-10-31,0.009985081702559476
2024-11-30,0.019717852751275803
