bucket,mean_return,nobs,volatility,horizon_days
1.0,-0.0037794029385517414,46911,0.11938270796830372,5
2.0,-0.0010182160080650271,46792,0.10463060499468384,5
3.0,-0.00037223511083672397,46787,0.10030601382710821,5
4.0,-0.0007824780352702228,46792,0.10136620040657528,5
5.0,-0.0004924546616818821,46867,0.13596044335480023,5
1.0,-0.0014252056352988274,46725,0.2028329143885566,20
2.0,0.004603634594537816,46613,0.17405180488118413,20
3.0,0.005496226371017561,46617,0.17332766679566736,20
4.0,0.006101804926625089,46613,0.18705121790947768,20
5.0,0.00436307868050024,46688,0.23382643950458012,20
1.0,0.022265961642418744,45601,0.3378619390704851,60
2.0,0.03164425004509961,45485,0.31095911741280374,60
3.0,0.030083524455200395,45479,0.3194732214947983,60
4.0,0.03401507785774462,45485,0.3578405169752824,60
5.0,0.031139480024165122,45559,0.4609319523297088,60
