date,gross_ret,net_ret,turnover,rolling_12m_net,rolling_12m_vol,rolling_12m_sharpe
2018-01-31,0.09620601666666667,0.09420601666666667,2.0,,,
2018-02-28,0.08559530104469529,0.08159530104469528,4.0,,,
2018-03-31,0.14381139701154683,0.13981139701154682,4.0,,,
2018-04-30,0.25486396281682877,0.25086396281682877,4.0,,,
2018-05-31,0.18416123490921366,0.18016123490921365,3.9999999999999996,,,
2018-06-30,0.06725245036630037,0.06325245036630037,4.0,1.619780725630503,0.24568792097834616,6.592838260751384
2018-07-31,0.09659999605263159,0.09259999605263158,4.0,1.5471263294877995,0.2310440387492261,6.696239980322719
2018-08-31,0.15403933523590208,0.15003933523590207,3.9999999999999996,1.5787945411556779,0.2154623511440933,7.3274729101040865
2018-09-30,0.13077599328703704,0.12677599328703704,4.0,1.572407583187763,0.20162246052842406,7.79877191790391
2018-10-31,0.1376305488095238,0.1336305488095238,4.0,1.5755234834404153,0.19011275863847252,8.287310618833878
2018-11-30,0.1550034083404534,0.1510034083404534,3.9999999999999996,1.5970250667717814,0.1815278669406614,8.797685411539726
2018-12-31,0.23960248925925925,0.23560248925925925,4.0,1.6995421338000587,0.20116273469126442,8.448593306351896
2019-01-31,0.08219929166666667,0.07819929166666667,4.0,1.6835354088000587,0.20586119853453813,8.178012276158032
2019-02-28,0.06094544825490179,0.05694544825490179,4.0,1.658885556010265,0.2148101147778201,7.722567243754161
2019-03-31,0.17422152511581007,0.17022152511581007,4.0,1.6892956841145286,0.21719206197451574,7.777888697943032
2019-04-30,0.16931149977513227,0.16531149977513226,4.0,1.6037432210728322,0.18423450182159265,8.704901661827982
2019-05-31,0.25692751650174117,0.25292751650174117,4.0,1.6765095026653594,0.21592194956900396,7.764423700377823
2019-06-30,0.17229485152625154,0.16829485152625154,3.9999999999999996,1.7815519038253105,0.20033370177621082,8.89292160045767
2019-07-31,0.08038355326086957,0.07638355326086957,4.0,1.7653354610335485,0.20584717721908502,8.57595175645613
2019-08-31,0.1921607812831877,0.1881607812831877,4.0,1.8034569070808342,0.2099281843188502,8.590827920188397
2019-09-30,0.31317373937074827,0.30917373937074827,4.0,1.9858546531645453,0.26073346965796845,7.6164163188163
2019-10-31,0.1078768880952381,0.1038768880952381,4.0,1.9561009924502597,0.26633683162691313,7.344462951299137
2019-11-30,0.19175095657772012,0.18775095657772012,4.0,1.9928485406875265,0.2670639830760955,7.4620640257570665
2019-12-31,0.15973612968750003,0.15573612968750003,4.0,1.9129821811157672,0.25609690499242926,7.469759078784333
2020-01-31,-0.0837590119047619,-0.0877590119047619,4.0,1.7470238775443385,0.3500504441843252,4.990777490984735
2020-02-29,-0.025808955978140338,-0.029808955978140338,4.0,1.6602694733112964,0.3831965588981745,4.33268367045142
2020-03-31,-0.014539047070692045,-0.018539047070692045,4.0,1.4715089011247944,0.4115173532216127,3.5758125133847
2020-04-30,-0.026406469924812027,-0.030406469924812028,4.0,1.2757909314248501,0.4352290655898099,2.9313091249913077
2020-05-31,0.060774498788375736,0.05677449878837573,4.0,1.0796379137114847,0.406392599271126,2.6566377331866744
2020-06-30,-0.004441164682539675,-0.008441164682539675,4.0,0.9029018975026935,0.40766159483153996,2.214831882497551
2020-07-31,0.016002858333333335,0.012002858333333335,4.0,0.8385212025751574,0.412519665762118,2.0326817656705263
2020-08-31,0.017650281917084454,0.013650281917084454,4.0,0.6640107032090541,0.3944486394999626,1.6833895131462788
2020-09-30,-0.1227573541666667,-0.1267573541666667,4.0,0.2280796096716391,0.3227897198277725,0.7065888275293685
2020-10-31,-0.05515004408541196,-0.059150044085411954,4.0,0.06505267749098904,0.3171483064335126,0.205117530730459
2020-11-30,0.03059114058944895,0.02659114058944895,4.0,-0.09610713849728214,0.24988884884223936,-0.3845995487295906
2020-12-31,-0.42351224285714284,-0.42751224285714284,3.9999999999999996,-0.6793555110419249,0.4407387583934533,-1.541401789845438
2021-01-31,0.18029337499999998,0.17629337499999997,4.0,-0.4153031241371631,0.4960147476636211,-0.8372797907589763
2021-02-28,-0.019559489040727854,-0.023559489040727855,3.9999999999999996,-0.40905365719975073,0.4961200759489674,-0.8245053506801192
2021-03-31,0.037003141369047615,0.03300314136904762,3.9999999999999996,-0.357511468760011,0.5005399815486983,-0.7142515721798103
2021-04-30,0.02151968188405797,0.01751968188405797,4.0,-0.309585316951141,0.5027653542992404,-0.6157650170279617
2021-05-31,-0.06829367461905586,-0.07229367461905586,4.0,-0.4386534903585726,0.4961639740242665,-0.8840897633110276
2021-06-30,0.013571536666666665,0.009571536666666665,4.0,-0.42064078900936624,0.4976022621418895,-0.8453353632251415
2021-07-31,-0.04017472291666667,-0.04417472291666667,4.0,-0.47681837025936624,0.4949709899466778,-0.9633258917067703
2021-08-31,0.021224394114650363,0.017224394114650363,4.0,-0.47324425806180037,0.49540423484073565,-0.9552688991726941
2021-09-30,0.06750723422619048,0.06350723422619048,4.0,-0.28297966966894317,0.4953557447831828,-0.5712655453159292
2021-10-31,0.02198416732804233,0.017984167328042328,4.0,-0.2058454582554889,0.4953191830672396,-0.4155814377727126
2021-11-30,0.060422253563407004,0.05642225356340701,4.0,-0.17601434528153087,0.4990773223450183,-0.35267950956875976
2021-12-31,0.04244316920970267,0.03844316920970267,4.0,0.2899410667853146,0.2155983326803003,1.3448205428158544
2022-01-31,0.039870125,0.035870125,4.0,0.14951781678531467,0.1399698142313807,1.0682147261991104
2022-02-28,0.05661119520087948,0.05261119520087948,4.0,0.225688501026922,0.13931063260842844,1.6200378736437353
2022-03-31,0.06873247938814031,0.06473247938814031,4.0,0.2574178390460147,0.14627693851115325,1.759797830513025
2022-04-30,-0.043119915476190485,-0.04711991547619049,4.0,0.19277824168576624,0.16164692998456798,1.1925883263243557
2022-05-31,0.013230985784083486,0.009230985784083486,4.0,0.27430290208890556,0.13061199533674137,2.1001356068537427
2022-06-30,0.009763712345678993,0.005763712345678994,3.9999999999999996,0.2704950777679179,0.13108921125156328,2.0634427134421576
2022-07-31,-0.015967013227513226,-0.019967013227513226,3.999999999999999,0.29470278745707135,0.11935940919736793,2.4690369149679907
2022-08-31,0.06502214985803895,0.06102214985803894,4.0,0.3385005432004599,0.12435460500283241,2.722058770503512
2022-09-30,0.06589588333333334,0.06189588333333334,3.9999999999999996,0.3368891923076028,0.12386510785656135,2.7198070395880025
2022-10-31,-0.017551056766917292,-0.021551056766917293,4.0,0.2973539682126432,0.1333264527898657,2.2302698526098146
2022-11-30,0.010865919170065266,0.006865919170065266,3.9999999999999996,0.24779763381930142,0.1296551825632792,1.9112050048470826
2022-12-31,-0.08155030580357142,-0.08555030580357142,4.0,0.12380415880602737,0.16544239820989373,0.7483218337355053
2023-01-31,0.1385145916666667,0.13451459166666668,4.0,0.22244862547269406,0.20640147356495697,1.0777472739441798
2023-02-28,0.052908503387224456,0.04890850338722446,3.9999999999999996,0.21874593365903905,0.2057668815094414,1.0630764875979428
2023-03-31,0.02535171453111704,0.02135171453111704,3.9999999999999996,0.17536516880201578,0.19955044196186184,0.8788012047376554
2023-04-30,-0.06657796984126985,-0.07057796984126985,4.0,0.1519071144369364,0.20863907493357203,0.728085640167364
2023-05-31,0.0015575863239025364,-0.0024424136760974637,4.0,0.14023371497675546,0.20917418307436533,0.6704159801924493
2023-06-30,0.04889351269841269,0.04489351269841269,3.9999999999999996,0.17936351532948916,0.21161133689485903,0.8476082518140675
2023-07-31,-0.013889924561403519,-0.01788992456140352,3.9999999999999996,0.1814406039955989,0.2112473621530433,0.8589011580847566
2023-08-31,0.02931380468665188,0.02531380468665188,3.9999999999999996,0.1457322588242118,0.20572880668758922,0.7083707001009074
