spec,n_obs,n_firms,n_months,mean_rank_ic,rank_ic_t,top_minus_bottom_decile_return
all_filings,231878,6723,186,-0.00470336814140451,-0.8564877842752555,0.004022195666057767
exclude_amendments,226231,6709,186,-0.003667073879369634,-0.666158076165791,0.004486349114142909
10k_only,82539,6381,179,0.021207017392503212,1.9258230287602087,0.006366945582773996
10q_only,149339,6632,186,-0.016143148752736505,-2.348073664028272,0.00026064955242800965
large_firm_above_median_me,117468,3797,186,-0.00048589607998915683,-0.07760840294515049,0.0035240052991290707
liquid_above_median_dollar_volume,117365,4472,186,-0.004408681400227174,-0.7319508306699244,0.002957146320450901
