model,nobs,rank_ic,pearson_ic,oos_r2,hit_rate
elastic_net,109662,0.07707713064219253,0.015020816179856079,-0.0027003191748991018,0.5295179734092028
lightgbm,109662,0.11301672317648705,0.14746115067379503,0.019479147261362573,0.5338950593642283
deep,109662,0.008751492513569192,0.0037943387360550654,-3.3179301900957974,0.5015593368714778
